col_index,col_winery,col_wine,col_figure,col_rating,col_ratingC,col_location_country,col_location_region,col_url,col_year
305,Bodegas Tradición,Pedro Ximenez 20 Years Old Vos N.V.,NA,4.5,515,Spain,Pedro Ximénez Sherry (PX),https://www.vivino.com/bodegas-tradicion-pedro-ximenez-20-years-old-vos/w/84350?year=N.V.&price_id=16735425,N.V.
306,El Enemigo,Gran Enemigo Single Vineyard Agrelo Cabernet Franc 2014,NA,4.5,501,Spain,Pedro Ximénez Sherry (PX),https://www.vivino.com/el-enemigo-gran-enemigo-single-vineyard-agrelo-cabernet-franc/w/2926759?year=2014&price_id=17857683,2014
307,Château Lafite Rothschild,Pauillac (Premier Grand Cru Classé) 2011,NA,4.5,467,Spain,Pedro Ximénez Sherry (PX),https://www.vivino.com/chateau-lafite-rothschild-pauillac-premier-grand-cru-classe-pauillac/w/3908?year=2011&price_id=4836008,2011
308,Caballo Loco,Red Blend 2017,NA,4.5,445,Chile,Lontue Valley,https://www.vivino.com/caballo-loco-red-blend/w/1259235?year=2017&price_id=16385785,2017
309,Santa Carolina,Herencia Carmenère 2007,NA,4.5,436,Chile,Lontue Valley,https://www.vivino.com/santa-carolina-herencia-carmenere/w/1645444?year=2007&price_id=1369573,2007
310,Conterno,Barolo Cascina Francia 2009,NA,4.5,430,Chile,Lontue Valley,https://www.vivino.com/conterno-barolo-cascina-francia/w/82203?year=2009&price_id=16834831,2009
311,Château Angelus,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2010,NA,4.5,427,France,Saint-Émilion Grand Cru,https://www.vivino.com/chateau-angelus-saint-emilion-grand-cru-premier-grand-cru-classe/w/10175?year=2010&price_id=16835042,2010
312,Château Mouton Rothschild,Pauillac (Premier Grand Cru Classé) 2011,NA,4.5,424,France,Saint-Émilion Grand Cru,https://www.vivino.com/chateau-mouton-rothschild-pauillac-premier-grand-cru-classe/w/1684223?year=2011&price_id=6355104,2011
313,Château Figeac,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 1990,NA,4.5,422,France,Saint-Émilion Grand Cru,https://www.vivino.com/figeac-saint-emilion-grand-cru-premier-grand-cru-classe/w/16778?year=1990&price_id=16834682,1990
314,Louis Roederer,Cristal Rosé Brut Champagne (Millésimé) 2009,NA,4.5,412,France,Saint-Émilion Grand Cru,https://www.vivino.com/louis-roederer-cristal-rose-brut-champagne-millesime/w/74306?year=2009&price_id=16834858,2009
315,Sandeman,40 Years Old Tawny Porto N.V.,NA,4.5,407,Portugal,Aged Tawny Port,https://www.vivino.com/sandeman-forty-years-old-tawny-porto/w/1384548?year=N.V.&price_id=16752174,N.V.
316,Armand de Brignac,Brut Rosé Champagne N.V.,NA,4.5,404,Portugal,Aged Tawny Port,https://www.vivino.com/armand-de-brignac-brut-rose-champagne/w/1441825?year=N.V.&price_id=10709065,N.V.
317,Château Haut-Brion,Pessac-Léognan (Premier Grand Cru Classé) 2011,NA,4.5,402,France,Pessac-Léognan,https://www.vivino.com/haut-brion-pessac-leognan-premier-grand-cru-classe/w/1152755?year=2011&price_id=6355101,2011
